PlayerHand,2,3,4,5,6,7,8,9,10,A
H4,H,H,H,H,H,H,H,H,H,H
H5,H,H,H,H,H,H,H,H,H,H
H6,H,H,H,H,H,H,H,H,H,H
H7,H,H,H,H,H,H,H,H,H,H
H8,H,H,H,H,H,H,H,H,H,H
H9,H,DH,DH,DH,DH,H,H,H,H,H
H10,DH,DH,DH,DH,DH,DH,DH,DH,H,H
H11,DH,DH,DH,DH,DH,DH,DH,DH,DH,H
H12,H,H,S,S,S,H,H,H,H,H
H13,S,S,S,S,S,H,H,H,H,H
H14,S,S,S,S,S,H,H,H,H,H
H15,S,S,S,S,S,H,H,H,UH,H
H16,S,S,S,S,S,H,H,UH,UH,UH
H17,S,S,S,S,S,S,S,S,S,S
H18,S,S,S,S,S,S,S,S,S,S
H19,S,S,S,S,S,S,S,S,S,S
H20,S,S,S,S,S,S,S,S,S,S
H21,S,S,S,S,S,S,S,S,S,S
S12,H,H,H,H,H,H,H,H,H,H
S13,H,H,H,DH,DH,H,H,H,H,H
S14,H,H,H,DH,DH,H,H,H,H,H
S15,H,H,DH,DH,DH,H,H,H,H,H
S16,H,H,DH,DH,DH,H,H,H,H,H
S17,H,DH,DH,DH,DH,H,H,H,H,H
S18,S,DS,DS,DS,DS,S,S,H,H,H
S19,S,S,S,S,S,S,S,S,S,S
S20,S,S,S,S,S,S,S,S,S,S
S21,S,S,S,S,S,S,S,S,S,S
P2,P,P,P,P,P,P,H,H,H,H
P3,P,P,P,P,P,P,H,H,H,H
P4,H,H,H,P,P,H,H,H,H,H
P5,DH,DH,DH,DH,DH,DH,DH,DH,H,H
P6,P,P,P,P,P,H,H,H,H,H
P7,P,P,P,P,P,P,H,H,H,H
P8,P,P,P,P,P,P,P,P,P,P
P9,P,P,P,P,P,S,P,P,S,S
P10,S,S,S,S,S,S,S,S,S,S
PA,P,P,P,P,P,P,P,P,P,P
